bin,n,predicted,actual
0%-10%,20084,0.0191267402396728,0.16291575383389764
10%-20%,5589,0.1437732166938429,0.2825192342100555
20%-30%,3852,0.25150224327454646,0.3411214953271028
30%-40%,7692,0.3639029693933982,0.33021320852834113
40%-50%,19625,0.4568992305430352,0.4432611464968153
50%-60%,41320,0.5420491190068244,0.5626089060987415
60%-70%,19846,0.6397542571797434,0.758893479794417
70%-80%,7570,0.749859358984854,0.8130779392338177
80%-90%,10456,0.8455275565271809,0.8513771996939556
90%-100%,11844,0.9643269377427502,0.9840425531914894
